no,lat,long,bp,er,site,feature
1,37.8136142,127.5179917,2360,30,가평 달전리 유적,22호 - 바닥 확인 후 수습
2,37.8136142,127.5179917,2430,40,가평 달전리 유적,25호 - 북벽 유구 수습
3,37.8136142,127.5179917,3110,60,가평 달전리 유적,36호 - 퇴적토 제거 중 수습
4,37.8136142,127.5179917,3140,60,가평 달전리 유적,39호 - 바닥
5,37.8136142,127.5179917,2530,80,가평 달전리 유적,9호 - 북벽 구덩이 중 중간 구덩이 수습
6,37.6828439,127.3797473,2805,20,가평 대성리 유적,청17호 주거지
7,37.6828439,127.3797473,2945,20,가평 대성리 유적,청25호 주거지
8,37.7670917,128.8866249,3100,50,강릉 교동주거지,2호 주거지
9,37.7670917,128.8866249,3230,50,강릉 교동주거지,3호 주거지
10,37.8648205,128.8293459,2760,60,강릉 방내리 가축위생처리장 신축부지 내 유적,10호 주거지
11,37.8648205,128.8293459,2920,50,강릉 방내리 가축위생처리장 신축부지 내 유적,11호 주거지
12,37.8648205,128.8293459,2850,60,강릉 방내리 가축위생처리장 신축부지 내 유적,13호 주거지
13,37.8648205,128.8293459,2790,60,강릉 방내리 가축위생처리장 신축부지 내 유적,14호 주거지
14,37.8648205,128.8293459,2780,60,강릉 방내리 가축위생처리장 신축부지 내 유적,15호 주거지
15,37.8648205,128.8293459,3100,50,강릉 방내리 가축위생처리장 신축부지 내 유적,1호 주거지
16,37.8648205,128.8293459,2740,50,강릉 방내리 가축위생처리장 신축부지 내 유적,2호 주거지
17,37.8648205,128.8293459,2800,60,강릉 방내리 가축위생처리장 신축부지 내 유적,3호 주거지
18,37.8648205,128.8293459,2890,50,강릉 방내리 가축위생처리장 신축부지 내 유적,4호 주거지
19,37.8648205,128.8293459,2890,60,강릉 방내리 가축위생처리장 신축부지 내 유적,5호 주거지
20,37.8648205,128.8293459,2960,50,강릉 방내리 가축위생처리장 신축부지 내 유적,6호 주거지
21,37.8648205,128.8293459,2910,50,강릉 방내리 가축위생처리장 신축부지 내 유적,7호 주거지
22,37.8648205,128.8293459,2720,50,강릉 방내리 가축위생처리장 신축부지 내 유적,8호 주거지
23,37.8648205,128.8293459,2760,50,강릉 방내리 가축위생처리장 신축부지 내 유적,9호 주거지
24,37.8632904,128.8291106,2650,170,강릉 방내리 주거지,1호 주거지
